city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Vernon,CA,1988 E 57th St,90058-3464,Class I,"Undeclared allergens; egg, tree nuts (unspecified), and the milk.","Topnotch Foods Regular Bread Crumbs  2,000 lb. bulk bag, 50 lb. bulk bag, and 10 lb. bulk bag",3 tons,Terminated,2016-12-21,2017-04-21,2016,12,21
Plymouth,WI,1 Persnickety Pl,53073-3544,Class II,"Sargento is recalling Frozen Unbreaded French Onion CC, Frozen Unbreaded Egg 3 cheese and caramelized Onion and Frozen Unbreaded Egg, Gouda, caramelized onion due to potential Listeria monocytogenes or Salmonella contamination.","Frozen Unbreaded Egg, 3 Cheese and caramelized onion.  Sample Number 18-0115.01.  Keep Frozen at 0-degrees or below zero.  ""Food for Research or Evaluation Use"".  Sargento Technical Center, Elkhart Lake, WI  53020",12 pieces,Terminated,2019-01-02,2019-08-14,2019,1,2
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient,"Rise n Roll Bakery & Deli, Chocolate Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457, variety donut box identifying all donut varieties     Chocolate Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     TOPPING:  Powdered sugar, butter (milk), chocolate drops (sugar, cocoa butter, chocolate liquor), cocoa powder, flavor salt.    Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Scarborough,ME,145 Pleasant Hill Rd,04074-9309,Class I,"Product labels fails to declare allergens: egg, milk, peanuts, wheat, soy and tree nuts","Hannaford Triple Chocolate Cake Truffle, 6 count  UPC # 20335700000",,Terminated,2012-11-14,2012-11-06,2012,11,14
Everett,MA,9 Commercial Street,02149-5506,Class I,Undeclared allergen: egg,"Whole Foods Salad Chicken Curry , 1 lb plastic bag (bulk)",493 lbs,Terminated,2013-06-12,2013-06-04,2013,6,12
Ayer,MA,114 E Main St,01432-1832,Class I,Product may be labeled with an incorrect back panel label that does not declare the allergens milk and egg.,"Olde Cape Cod Chipotle Ranch dressing, 16 oz.  Item Number:  90997-11630","2,273 six-pack cases",Terminated,2013-09-25,2013-10-28,2013,9,25
Ann Arbor,MI,3723 Plaza Dr Ste 2,48108-3327,Class I,undeclared egg,Zingerman's Paw Paw Gelato pint (16oz) and quart (32oz) sizes,"173 pints, 50 quarts",Terminated,2022-11-23,2022-12-01,2022,11,23
Austin,TX,1105 N Lamar Blvd,78703-4941,Class I,Undeclared egg,Blackberry Pie 9 Inch NET WT. 2lb 4oz (1021g) and Blackberry Pie Half NET WT. 1lb 1oz (482g) and individual slices.,3 units,Terminated,2015-08-12,2016-08-18,2015,8,12
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Jin Ramen Mild Bowl, 5PK  3.88oz x 12ea, 1 lb 5.16oz x 8pk, 4.23oz x 12ea, cup 2.29 oz x 6 cup  Item #21309025, 32142401, 21501201, 32143021  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2lb HELLO KITTY COLLECTION Decorated SUGAR COOKIE KIT Item # 03-4035 UPC Code - 698768034353,1801 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Hot Dog Buns, Valley Bakery, Rock Valley, IA, 8 count. UPC 290206803004, packaged in clear plastic bags",21 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Maspeth,NY,5729 49th St,11378-2014,Class I,Canadian Food Inspection Agency analytical results revealed the presence of undeclared egg allergen.,"FRIED SHRIMP FLAVOURED FISH BAR, Net Wt 9.07 Kg 4 X 5 lbs. bulk,  Product of Canada, KEEP REFRIGERATED",15 cases,Terminated,2016-07-13,2017-05-08,2016,7,13
Knoxville,TN,1600 Harris Rd,37924-2215,Class II,"Listeria monocytogenes was found in egg salad produced by the firm.  In abundance of caution, firm is recalling all product produced on the same line on the same date.","Fresket Tuna Salad packaged in 5lb plastic container, 2 containers per case, refrigerated",13 cases (2- 5lb containers per case),Terminated,2019-08-28,2019-12-27,2019,8,28
Kent,WA,"23444 30th Ave S., Space #104",98032-2807,Class I,"Butter Creek Farms, Inc is recalling White Chocolate Macadamia Cookie due to undeclared Macadamia nut, Egg, Wheat, Soy, and Milk. The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.",White Chocolate Macadamia Cookie,unknown,Terminated,2014-04-09,2014-09-24,2014,4,9
Fife,WA,7214 26th St E C-102,98424-3773,Class II,"The Ingredients statement declared wheat, egg, and milk but the Contains statement declared only wheat.","Cookies ASSORTI, product is packaged in plastic clamshells container, Net Weight: 454g (16 OZ). UPC: 8 51929 00358 6.    The label is read in parts: ""***COOKIES ""ASSORTI"" *** INGREDIENTS: WHEAT FLOUR, NIACIN, REDUCE IRON THIAMINE, MONONITRATE, RIBOFLAVIN, FOLIC ACID, BUTTER (PASTEURIZED CREAM, NATURAL FLAVORINGS, MILK), EGGS, SUGAR, VANILLA*** Contains: Wheat***"".",1594 packages,Terminated,2017-04-05,2018-07-23,2017,4,5
Winchester,VA,360 Front Royal Pike,22602-7314,Class I,Firm voluntarily recalling 56 oz. Birthday Cake Ice cream due to adding the wrong ingredient into cake.  (eggs added to cake) (undeclared egg allergen).,"Garber's Old Fashioned Ice cream, Birthday Cake Flavored    1.75 quarts, packed in a shrink wrap of 3.    #1 lot of 211/ 3 pk produced on 12/12/13 expires on 12/12/14    #2 lot of 451/3 pk produced on 3/31/14 expires 3/31/15    #3 lot of  454/3 pk produced on 11/5 14 expires on 11/5/15    1116 (three packs) = 3348 singles",2427 Distributed. 921 still in house,Terminated,2015-06-24,2016-05-02,2015,6,24
Rochester,NY,1500 Brooks Ave,14624-3512,Class I,The product is labeled as Thai Chili Sauce. The product actually contains Spicy Sauce which contains undeclared egg.,"Wegmans Avocado Summer Roll, 2 Pack, 5 oz. UPC: 2-48762-00000 or 2-48920-00000 packaged with Wegmans Thai Sweet Chili Sauce Cup 1.5 oz. (UPC 7-66630-98023)",577 units,Terminated,2018-04-04,2018-03-27,2018,4,4
Little Rock,AR,9100 Frazier Pike,72206-3894,Class I,Undeclared egg and soy lecithin,"Favorite Day Lavender Shortbread Cookie Bites Net Wt  7oz (198g) packaged in a purple bag and an inside silver flexible bag UPC 085239286098, 6 units per case",244 cases,Ongoing,2022-07-20,,2022,7,20
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Apple Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,8,Terminated,2022-03-16,2022-03-18,2022,3,16
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient,"Rise n Roll Bakery & Deli, Glazed Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,   variety donut box identifying all donut varieties     Glazed Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     GLAZE:  Powdered sugar, cornstarch, modified foodstarch (corn) and milk.    Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Moonachie,NJ,25 Knickerbocker Rd,07074-1613,Class I,Fish products contain undeclared egg and wheat.,"Fish Cake in Polybag 10/2.2lbs, Item no. 12842  UPC Code 087703128422",189 cases,Terminated,2017-12-20,2018-01-23,2017,12,20
Washington,NC,321 N Pierce St,27889-4841,Class I,Undeclared egg and soy.,"COLE SLAW Ingredients: cabbage, mayonaise sugar, vinegar, celery seed, salt WT 16 oz WASHINGTON CRAB Carolina seafood",463/16 oz cups,Ongoing,2023-05-31,,2023,5,31
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Cherry Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,11,Terminated,2022-03-16,2022-03-18,2022,3,16
Englewood Cliffs,NJ,700 Sylvan Ave,07632-3113,Class II,Undeclared egg,Knorr Letras con Tomate Tomato Based Alphabet Pasta Soup Mix 3.5 oz UPC: 048001716186,"230,000 cases",Ongoing,2023-09-20,,2023,9,20
Stanwood,WA,10120 269th Pl Nw Ste A,98292-4736,Class II,Possible egg and wheat allergen cross-contact contamination during packaging.,"Signature Select Golden Corn Sweet, frozen, packed in poly film bags. 12/16 oz. packages per case. UPC 2113009152.  Signature Select Golden Corn Sweet, frozen, packed in poly film bags, 12/32 oz. packages per case. UPC 2113009021.  Product of USA. Products is DISTRIBUTED BY BETTER LIVING BRANDS LLC P.O. BOX 99  PLEASANTON, CA  94566-009",90 cases (12/16 oz. packages) and 1185 cases (12/32 oz. packages),Terminated,2021-05-05,2021-05-17,2021,5,5
City of Industry,CA,15222 Valley Blvd,91746-3323,Class II,Sincere Orient Food is recalling the Thin Egg Noodle (Mi Trung Ga) because it contains undeclared wheat.,"Thin Egg Noodle (Mi Trung Ga), 5lbs, 8 units/case","1,248 packages (6,240 lbs)",Terminated,2016-05-11,2016-06-01,2016,5,11
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Rusk Buns, Valley Bakery, Rock Valley, IA, 1 count. UPC 290212603209, packaged in clear plastic bags",20 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
City Of Industry,CA,15339 Don Julian Rd,91745-1034,Class I,"Product was found to have the presence of egg, which is not declared on the label.",JSJ ZSR Cake 3.35 oz (95g) 28 units per case produced date: 2022/11/08,"12,432 units total",Terminated,2023-03-15,2023-06-06,2023,3,15
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Undeclared milk and egg,Whole Foods Market Cookies and Cream Single Layer Cake 8 inch NET WT 3lb 0 oz. (1361g) PLU: 39544 packaged in a clear plastic dome,12 units,Terminated,2021-12-15,2021-12-08,2021,12,15
Stephenson,MI,W 521 South Drive,49887,Class I,"Undeclared Anchovy, Egg, Soy",Door County Whitefish  Smoked Whitefish Pate  8oz plastic tub  UPC 8 55356 00402 4  Keep Refrigerated  12 retail units per wholesale case,250 cases; 3000 retail units,Terminated,2019-08-28,2020-11-03,2019,8,28
Millbrae,CA,375 Adrian Rd,94030-3104,Class II,"Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat,  walnut, pine nut, sesame street, egg yolk.","Koi Palace Mini Moon Cake: Luxury Single Mooncake - Mini Fresh Five Nuts with Smoked Ham  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","2 Cases (1pc/bx, 48 bx/cs)",Terminated,2017-01-18,2017-01-11,2017,1,18
Willernie,MN,106 Wildwood Rd,55090-7711,Class I,Sandwiches may contain undeclared soy and egg.,"Duke of Earle X-Large Ham & Cheese, Ham and American Cheese on French Bread.  Net Wt. 10.25 oz (297g), UPC 97256 14322, Keep Refrigerated.  Earle of Sandwiches, Willernie, MN  55090",1124 units,Terminated,2021-10-13,2022-04-21,2021,10,13
Brooklyn,NY,181 27th St,11232-1624,Class I,Product may contain undeclared egg.,Lam Sheng Kee Frozen Fried Tofu NET Weight 240g(8.5 OZ),Exact quantity is unknown,Terminated,2017-08-02,2018-12-03,2017,8,2
Plover,WI,1424 Post Rd,54467-2627,Class I,Monogram Appetizers is recalling Poppers Brand Mozzarella Cheese Sticks because they may contain undeclared egg.,Poppers brand Mozzarella Cheese Sticks Net Wt. 32 oz. (2 lb) 970 g.  Keep Frozen.  Cook Thoroughly.  UPC 46704-88920.  Distributed by:  Heinz,5980 cases,Terminated,2016-09-28,2019-04-26,2016,9,28
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Sesame Buns, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",3 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Cherry Tea Ring, Valley Bakery, Rock Valley, IA, 1 count. UPC 290405306009, packaged in clear plastic bags",Unknown.,Terminated,2017-05-03,2017-07-17,2017,5,3
Camarillo,CA,1320 Flynn Rd Ste B,93012-8744,Class I,Undeclared allergen; egg,"Fine Sconehenge Baking Company, CRANBERRY ORANGE SCONE, individually sealed plastic bag",,Ongoing,2023-11-08,,2023,11,8
Brooklyn,NY,4120 2nd Ave,11232-3315,Class II,"Product contains an undeclared allergen, specifically egg, that is not listed in the ingredient statement.",QQ Fish brand CUTTLEFISH FLAVOURED SEAFOOD BALL; Net weight 200g/7oz,"Cuttlefish Flavored: 60 cartons; 50-200g packets/carton; total: 3,000 packets",Terminated,2019-09-18,2020-08-04,2019,9,18
Hughes Springs,TX,601 Fm 161 S,75656-6989,Class II,Undeclared soy and egg,"Chocolate Chunk Brownie 13oz UPC 4122077413 packaged in a metal tray with a clear plastic nonflexible lid, 6 trays per case",976 lbs,Terminated,2023-02-08,2023-03-14,2023,2,8
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Brioche Dinner Rolls, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",4 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Beijing Spicy Seafood Noodle 5PK  1lb 5.16oz x 8pk  Item #32142408  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Brisbane,CA,99 Park Ln,94005-1309,Class I,Labeling for Croissants sold in Northern CA fails to declare  egg in the ingredients list or allergen information. The croissants are manufactured with an egg wash.,"Almond Croissant:: sold in self serve cases and 4 pack clamshell package.  Ingredients: Dough ( water, wheat flour, sugar, milk [powder fat whole], salt, yeast, ascorbic acid, butter.  Filling: Almond paste, butter, sugar, eggs. Topping (apricot glaze, almonds. Contains Milk, Eggs, Tree Nuts, Wheat.     Note: This information is from the new label.    Manufactured by Bakers of Paris, Brisbane, CA for Whole Foods Markets.    UPC: Croissant 4 Pack Baker Paris, 241593007994;             Self Serve case Almond Croissant, 46000058559",527 individual croissants,Terminated,2017-01-25,2017-01-18,2017,1,25
Brooklyn,NY,4120 2nd Ave,11232-3315,Class II,"Product contains an undeclared allergen, specifically egg, that is not listed in the ingredient statement.",QQ Fish brand SHRIMP FLAVOURED SEAFOOD BALL; Net weight 200g/7oz,"Shrimp Flavored: 40 cartons; 50-200g packets/carton; total: 2,000 packets",Terminated,2019-09-18,2020-08-04,2019,9,18
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Cherry Flavor packaged in a clear plastic clamshell  4 pack,210,Terminated,2022-03-16,2022-03-18,2022,3,16
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Jjajang Bokki (Bowl)  4.23oz x 12ea  Item #21502157  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class II,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.","CHOCOLATE MACADAMIA MEIJI, 2.25 oz.  Item number 69920    UPC 074410699208 - only on those bars with English labeling.    Distributed by Wismettac Asian Foods, Inc.",103 cases (10 individual items in inner carton) x 8 / master case,Terminated,2019-06-19,2019-07-05,2019,6,19
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Sourdough Dinner Rolls, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",4 units,Terminated,2022-01-19,2022-01-10,2022,1,19
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Giai Phat Fried Fish Loaf NET WT: 10 oz. (283gr.) Ingredients: Fish meat (Surimi), Water, Tapioca Flour, Fish Sauce (Anchovy Extract, Salt, Sugar), Onion, Salt, Sugar, Monosodium Glutamate, Garlic Powder, Pepper, and Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch and Monocalcium Phosphate). Contains: Anchovy Keep product refrigerated at 38F or below/may be frozen Item # 20311 Keep frozen Open package before thawing Manufactured By: 888 Food CO. South El Monte, CA 91733  Giai Phat Fried Fish Cake NET WT: 12 oz. (340gr) Perishable keep product refrigerated at 38F or below. May be frozen Item #20213 Ingredients: Surimi (Japanese Threadfin Bream Fish, Sugar, Polyphosphate), Water, Tapioca Flour, Fish Sauce (Anchovy Extract, Salt, Sugar), Onion, Salt, Monosodium Glutamate, Garlic Powder, White Pepper and Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch and Monocalcium Phosphate).  Fried in soybean oil.  Contain: Anchovy. Distributed By: 888 Food Co. S. El Monte, CA 91733","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
Orlando,FL,701 Jetstream Dr,32824-7103,Class II,The product has been recalled due to undeclared (allergen) egg.,"Party Tray Vegetables with Ranch Dip, packaged in 40 oz (2.5 LBS) plastic tray with lid, UPC 3825911509.","200 cases (800 trays), 2000Lbs",Terminated,2021-01-13,2021-05-19,2021,1,13
Schwenksville,PA,4461 Township Line Rd,19473-2148,Class II,"Don's Salads is recalling egg salads due to undeclared milk. An ingredient, used in the manufacture of the salads, has been recalled due to undeclared milk.","Don's Salads; Egg Salad; Net Wt. 5 lbs., MFGD by Aldon Food Corp, Schwenksville, PA 19473; Sell by dates: 6/7, 6/9, 6/13, 6/15; UPC: 740247005061;       AND; Block & Barrel Classic Egg Salad; Net Wt. 5 lbs; Distributed by Sysco Corporation, Houston, TX  77077; Sell By Dates: 6/7, 6/9, 6/13, 6/15; UPC: 074865655316;","Don's - 3,005 lbs; Sysco-1885 lbs.",Terminated,2017-07-12,2017-08-14,2017,7,12
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Chocolate Chip Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,7,Terminated,2022-03-16,2022-03-18,2022,3,16
Lakewood,NJ,180 Lehigh Ave,08701-4526,Class I,Undeclared egg,Vemondo Vegan Crabless Mini Crabcakes by Lidl 8.5 OUNCES (240g) coated paper box ten (10) packages per case. Frozen.,1800 cases,Terminated,2021-10-20,2022-02-16,2021,10,20
South San Francisco,CA,210 El Camino Real,94080-5968,Class I,Potential for nuts and/or nut and egg residue may be present in some of the dark and milk chocolate covered raisins.,"See's Milk Raisins:    Ingredients: Raisins, Sugar, Cocoa butter, milk chocolate, soy lecithin, Vanillin, Dextrin, Confectionery glaze.May contain traces of eggs, tree nuts and peanuts    Sold in Net Wt. 8 oz (227 g) clear plastic packages or purchased by customer at counter in See's Stores.  UPC 7 37666 08306 0    Manufactured by: See's Candy Shops Incorporated  So. San Francisco, CA 04080","5,814 lb.",Terminated,2013-07-03,2013-08-14,2013,7,3
New Century,KS,101 Prairie Village Dr,66031-1112,Class I,Products potentially contain undeclared egg.,"Texas Roadhouse Barbecue Sauce, NET 3/2 gallon, Mfg. exclusively for: Texas Roadhouse Restaurants, Louisville, KY, packaged in plastic pouches.",908 cases total,Terminated,2017-11-22,2018-03-01,2017,11,22
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2.7lb Sugar Cookies Pre-Portion Item # 25-2004 UPC Code  - 698768102120,8163 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Austin,TX,550 Bowie St,78703-4644,Class I,Undeclared lysozyme (from egg whites),Whole Foods Market Artequeso Manchego 6 month aged raw Raw Milk - Aged 60 days or more PLU 20057900000 Individual sliced cheese wrapped in plastic wrap with scale label on top.,51.17 lbs,Terminated,2020-09-09,2020-11-03,2020,9,9
Cambridge,MA,125 Cambridgepark Dr Fl 5th,02140-2329,Class I,"Product mislabeled- undeclared walnut, almond, milk, soy and egg.","Whole Foods Vegan Gingersnap Cookies, 6pk (10-oz),  packaged in flexible plastic with twist tie",8 units,Terminated,2014-11-12,2014-11-05,2014,11,12
Snohomish,WA,21106 86th Ave SE,98296-7904,Class I,Cherry Vanilla  Custard (without egg) is being recalled due to the potential to be contaminated with Listeria monocytogenes.,"Cherry Vanilla  Custard (without egg), sold under Snoqualmie brand. Product is sold in 1.5 and 3 gallon plastic tubs.  No UPC.",4 / 1.5 gallon tubs and 6 / 3 gallon tubs,Terminated,2015-07-08,2016-02-23,2015,7,8
Pompano Beach,FL,1471 Sw 5th Ct,33069-3524,Class II,The Egg Bagel flavor lacks declaration of Yellow 5 on its label.,"Opelle Bakery Egg Bagel (C-105), case of 60 (3.5 oz.), Frozen Raw.",9 cases still within shelf-life at initiation of recall,Ongoing,2017-01-25,,2017,1,25
Oak Brook,IL,2021 Spring Rd Ste 600,60523-1860,Class II,Undeclared egg,Happy Belly Mayo Light Mayonnaise  30 FL OZ Plastic Jar Item B08B6T9RC6,30 Jars,Terminated,2021-02-24,2021-08-24,2021,2,24
Medina,OH,133 Commerce Dr,44256-1333,Class I,Undeclared Egg Allergen,"Macaroni & Cheese, Macarrones con Queso; 3-5 lb pouches/bolsas, NET WT/PESO NETO 240 OZ (15 LB) 6.80 kg; distributed by Gordon Food Service, Reorder No. 540061, Vendor Item # 4357505, Perishable. Keep Refrigerated. Perecedero. Mantener Refrigerado.",24 cases,Terminated,2022-01-12,2022-01-13,2022,1,12
New York,NY,283 Bleecker St,10014-4107,Class II,Product contains undeclared egg.,"BANTAM BAGELS The Classic Mini Stuffed Bagels PLAIN BAGEL STUFFED WITH PLAIN WHIPPED CREAM CHEESE with large white sticker on the front of the packaging that states EGG TEST 5/04/2018, Frozen","1,452 Packages",Terminated,2018-08-29,2018-09-05,2018,8,29
Brooklyn,NY,4120 2nd Ave,11232-3315,Class II,"Product contains an undeclared allergen, specifically egg, that is not listed in the ingredient statement.",QQ Fish brand CRAB FLAVOURED SEAFOOD BALL; Net weight 200g/7oz,"""	Crab Flavored; 40 cartons; 50  200g packets/carton; total: 2,000 packets",Terminated,2019-09-18,2020-08-04,2019,9,18
Englewood Cliffs,NJ,700 Sylvan Ave,07632-3113,Class II,Undeclared egg,Knorr Estrellitas con Tomate Tomato Based Star Pasta Soup Mix 3.5 oz UPC: 048001716193,"215,000 cases",Ongoing,2023-09-20,,2023,9,20
Rochester,NY,1500 Brooks Ave,14624-3512,Class I,The product is labeled as Thai Chili Sauce. The product actually contains Spicy Sauce which contains undeclared egg.,Wegmans Thai Sweet Chili Sauce Cup 1.5 oz. (UPC 7-66630-98023),262 cases,Terminated,2018-04-04,2018-03-27,2018,4,4
Ashland,OH,1191 Commerce Pkwy,44805,Class I,Undeclared egg allergen on box,Peppa Pig brand chocolate chip cookies. One 7 oz bag per box- 6 boxes per case,294 boxes,Terminated,2021-06-09,2021-06-21,2021,6,9
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Raspberry Tea Ring, Valley Bakery, Rock Valley, IA, 1 count. UPC 290400306004, packaged in clear plastic bags",Unknown,Terminated,2017-05-03,2017-07-17,2017,5,3
Brisbane,CA,201 S Hill Dr,94005-1204,Class I,Undeclared allergen; egg.,Large 4- Date Mooncake Gift Box,,Ongoing,2023-10-25,,2023,10,25
Seattle,WA,5601 1st Ave S,98108-2404,Class II,Undeclared egg. Challah bread was mislabeled as Columbia Sliced bread and the label does not declare egg.,"The product is twisted bread and packaged in a flexible plastic bag with a yellow Kwik-Lok seal.      The label is read in parts: ""***ORGANIC SLICED COLUMBIA*** Net Weight 32 ounces *** The ESSENTIAL BAKING Company***INGREDIENTS: Organic Unbleached Wheat Flour, Water, Organic Whole Wheat Flour, Organic Rye Flour, Sea Salt, Organic Barley Malt *** Our products are made in a bakery that uses wheat, eggs, milk, soy and tree nuts ***"".",84 loaves,Terminated,2020-05-20,2020-05-22,2020,5,20
Bayamon,PR,"Calle 305, Building D-4",00959,Class I,"Undeclared allergens: wheat, soy, and egg.",Pan con pasas [Bread with raisins] NET WT 1LB (16OZ),TBD,Terminated,2018-02-14,2019-09-19,2018,2,14
Seoul,,3 104 Opaesan-ro,,Class II,"Undeclared allergens of egg, milk, and wheat","Samyang Buldak Hot Chicken Flavor Sauce  Hot Chili Sauce  Net Wt. 200 g (7.05 oz)  Product of Korea  UPC: 8 801073 411388    Ingredients:  Water, Artificial chicken flavor powder (artificial flavor, dextrin, sugar, red pepper powder, yeast powder, chili pepper powder, modified potato starch, egg, curry powder [turmeric powder, dextrin, salt, milk]), Corn syrup, Artificial flavor, Soy sauce (soy, water, salt, wheat, high fructose corn syrup), Soybean oil, Onion, Garlic, Decolorized chili extract, Paprika extract, Lactobacillus fermented powder, Green tea flavor oil (water, polyglycerin fatty acid ester, tea catechin, dextrin)  Allergen: Egg, Milk, Soy, Wheat  (Missing allergens declared from the label: egg, milk, and wheat)       Manufactured by: Samyang Foods Co. Ltd. Seoul, Korea","10,150 boxes (253,750 bottles)",Terminated,2021-02-03,2021-06-15,2021,2,3
Kent,WA,"23444 30th Ave S., Space #104",98032-2807,Class I,"Butter Creek Farms, Inc. is recalling Mock Baby Ruth Cookies due to undeclared peanut, egg, wheat,  soy, wheat, and milk. The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.",Mock Baby Ruth Cookies,unknown,Terminated,2014-04-09,2014-09-24,2014,4,9
Salinas,CA,150 Main St Ste 400,93901-3442,Class I,Incorrect salad kit causing undeclared allergens (egg and wheat).,"Trader Joe's Lemony Arugula Basil Salad Kit   Arugula, carrots, almonds, and parmesan cheese with a basil lemon vinaigrette   NET WT. 9.75 OZ (276g)",907 cases,Terminated,2022-06-15,2022-07-01,2022,6,15
